id,participant_code,full_payout_dollar,time_started,audit_rate_job1,points_earned_job1,declare_job1,got_audited_and_everything_declared_job1,got_audited_and_everything_not_declared_job1,payoff_job1,time_declare_job1,audit_rate_job2,points_earned_job2,declare_job2,got_audited_and_everything_declared_job2,got_audited_and_everything_not_declared_job2,payoff_job2,time_declare_job2,audit_rate_job3,points_earned_job3,declare_job3,got_audited_and_everything_not_declared_job3,got_audited_and_everything_declared_job3,payoff_job3,time_declare_job3,audit_rate_job4,points_earned_job4,declare_job4,got_audited_and_everything_not_declared_job4,got_audited_and_everything_declared_job4,payoff_job4,time_declare_job4,audit_rate_job5,points_earned_job5,declare_job5,got_audited_and_everything_not_declared_job5,got_audited_and_everything_declared_job5,payoff_job5,time_declare_job5,audit_rate_job6,points_earned_job6,declare_job6,got_audited_and_everything_not_declared_job6,got_audited_and_everything_declared_job6,payoff_job6,time_declare_job6,audit_rate_job7,points_earned_job7,declare_job7,got_audited_and_everything_not_declared_job7,got_audited_and_everything_declared_job7,payoff_job7,time_declare_job7,audit_rate_job8,points_earned_job8,declare_job8,got_audited_and_everything_not_declared_job8,got_audited_and_everything_declared_job8,payoff_job8,time_declare_job8,audit_rate_job9,points_earned_job9,declare_job9,got_audited_and_everything_not_declared_job9,got_audited_and_everything_declared_job9,payoff_job9,time_declare_job9,audit_rate_job10,points_earned_job10,declare_job10,got_audited_and_everything_not_declared_job10,got_audited_and_everything_declared_job10,payoff_job10,time_declare_job10,audit_rate_job11,points_earned_job11,declare_job11,got_audited_and_everything_not_declared_job11,got_audited_and_everything_declared_job11,payoff_job11,time_declare_job11,audit_rate_job12,points_earned_job12,declare_job12,got_audited_and_everything_not_declared_job12,got_audited_and_everything_declared_job12,payoff_job12,time_declare_job12,audit_rate_job13,points_earned_job13,declare_job13,got_audited_and_everything_not_declared_job13,got_audited_and_everything_declared_job13,payoff_job13,time_declare_job13,audit_rate_job14,points_earned_job14,declare_job14,got_audited_and_everything_not_declared_job14,got_audited_and_everything_declared_job14,payoff_job14,time_declare_job14,audit_rate_job15,points_earned_job15,declare_job15,got_audited_and_everything_not_declared_job15,got_audited_and_everything_declared_job15,payoff_job15,time_declare_job15,age,gender,male,occupation,education,country,usa,pay_taxes,safe_choice_a,understood_declare_income_different,understood_likelihood,declared_rules,think_declared,afraid_declared,more_money_not_declare,likelihood_audit,sequ,unemployed,econ_training
1,jktodbik,2.62,2020-07-19 15:51:37.045839+00:00,5,29,29,0,0,17,23,5,5,5,0,0,3,6,5,26,26,0,0,16,6,5,30,30,0,0,18,5,5,39,39,0,0,23,5,20,26,26,0,0,16,10,20,35,35,0,0,21,5,20,33,33,0,0,20,4,20,24,24,0,1,14,4,20,33,33,0,0,20,5,40,25,25,0,0,15,10,40,20,20,0,0,12,5,40,30,30,0,0,18,6,40,30,30,0,0,18,5,40,35,35,0,0,21,7,35,Male,1,Other Information Industry,5,USA,1,1,9,1,1,1,7,7,4,1,5-20-40,0,0
2,174difj8,0.68,2020-07-19 15:55:03.899744+00:00,5,0,0,0,0,0,54,5,20,0.1,0,0,20,7,5,0,0,0,0,0,50,5,18,0.2,0,0,18,10,5,23,0.1,0,0,23,6,20,0,0,0,0,0,18,20,25,0.75,1,0,-34,8,20,0,0,0,1,0,7,20,9,0.2,0,0,9,8,20,20,0.2,0,0,20,6,40,0,0,0,0,0,14,40,20,4,0,0,18,35,40,0,0,0,1,1,5,40,15,2,0,0,14,6,40,25,2.5,1,0,-30,6,29,Male,1,Manufacturing,6,USA,1,1,0,1,6,7,6,7,6,2,5-20-40,0,0
3,hjo3irt0,1.28,2020-07-19 15:55:51.215368+00:00,5,9,5,0,0,7,56,5,5,4,0,0,3,15,5,10,7,0,0,7,9,5,30,30,0,0,18,10,5,14,10,1,0,0,15,20,14,14,0,0,8,7,20,10,10,0,0,6,7,20,9,9,0,0,5,4,20,15,15,0,1,9,6,20,15,15,0,0,9,5,40,12,12,0,0,7,5,40,15,15,0,0,9,6,40,12,12,0,0,1,4,40,21,21,0,1,13,5,40,17,17,0,1,10,5,29,Male,1,Software,7,USA,1,1,9,1,7,1,1,7,1,2,5-20-40,0,0
4,b1u7camk,0.37,2020-07-19 16:22:22.381467+00:00,5,8,1,0,0,8,21,5,5,1,0,0,5,8,5,7,2,0,0,6,6,5,30,2,0,0,29,20,5,11,1,0,0,11,5,20,13,1,1,0,-16,5,20,5,1,0,0,5,10,20,10,2,0,0,9,17,20,15,3,1,0,-15,9,20,13,3,1,0,-12,10,40,11,5,1,0,-5,9,40,10,4,1,0,-6,8,40,11,5,1,0,1,13,40,0,0,0,1,0,32,40,15,6,0,0,13,14,39,Female,0,Finance and Insurance,6,USA,1,1,4,3,2,1,2,5,6,2,5-20-40,0,1
5,n4epfjo8,1.31,2020-07-19 18:17:21.502582+00:00,5,9,2,0,0,8,25,5,0,0,0,0,0,6,5,9,1,0,0,9,10,5,21,5,0,0,19,17,5,15,2,0,0,14,14,20,16,4,0,0,14,10,20,20,5,0,0,18,10,20,12,3,0,0,11,13,20,15,3,0,0,14,7,20,15,3,0,0,14,11,40,14,3,0,0,13,9,40,15,4,0,0,13,51,40,13,3,1,0,1,11,40,18,0,1,0,-25,43,40,16,12,0,0,11,11,28,Male,1,"Real Estate, Rental and Leasing",6,USA,1,0,9,2,2,2,4,2,3,2,5-20-40,0,1
6,em0xa9r2,1.31,2020-07-19 21:56:58.289106+00:00,5,10,10,0,0,6,22,5,0,0,0,0,0,11,5,8,8,0,0,5,6,5,27,27,0,0,16,10,5,22,22,0,0,13,6,20,14,14,0,0,8,6,20,15,15,0,0,9,5,20,10,10,0,0,6,4,20,18,18,0,0,11,5,20,18,18,0,0,11,6,40,15,5,1,0,-11,9,40,25,25,0,1,15,6,40,13,13,0,1,8,7,40,27,27,0,0,16,5,40,13,13,0,0,8,5,55,Male,1,Retail,7,USA,1,1,5,1,1,4,6,3,2,2,5-20-40,0,0
7,dnfsnsnb,4.53,2020-07-19 21:58:10.386066+00:00,5,37,0,0,0,37,4,5,35,0,0,0,35,3,5,28,0,0,0,28,3,5,30,0,0,0,30,3,5,44,0,0,0,44,3,20,32,32,0,0,19,4,20,35,35,0,0,21,6,20,33,0,0,0,33,3,20,30,0,0,0,30,4,20,42,0,0,0,42,3,40,31,31,0,0,19,3,40,35,35,0,1,21,3,40,31,31,0,0,19,3,40,30,30,0,1,18,3,40,47,0,0,0,47,5,33,Male,1,Hotel and Food Services,4,USA,1,1,7,1,1,1,7,7,4,1,5-20-40,0,0
8,x7klw81x,2.92,2020-07-19 22:05:32.805676+00:00,5,32,0,0,0,32,9,5,35,1,0,0,35,7,5,26,1,0,0,26,11,5,30,2,0,0,29,9,5,21,2,0,0,20,7,20,29,15,1,0,-11,16,20,35,35,0,0,21,27,20,31,31,0,0,19,9,20,30,30,0,0,18,7,20,19,19,0,0,11,21,40,26,26,0,0,16,5,40,30,30,0,1,18,5,40,29,29,0,1,17,4,40,30,30,0,0,18,4,40,21,21,0,0,13,4,24,Female,0,Health Care and Social Assistance,8,USA,1,1,8,1,1,1,4,7,1,2,5-20-40,0,0
9,uw6np2si,3.3,2020-07-19 23:44:19.130524+00:00,5,29,0,0,0,29,38,5,35,0,0,0,35,5,5,28,0,0,0,28,16,5,30,0,0,0,30,3,5,41,0,1,0,-57,2,20,31,0,0,0,31,9,20,35,0,0,0,35,4,20,33,0,0,0,33,7,20,30,0,0,0,30,8,20,44,44,0,0,26,3,40,32,32,0,0,19,3,40,30,30,0,0,18,5,40,31,31,0,0,19,3,40,30,30,0,0,18,4,40,44,44,0,0,26,3,26,Male,1,Other Industry,6,USA,1,1,6,1,1,6,7,5,1,2,5-20-40,0,0
10,cgaeq4gr,3.55,2020-07-20 00:13:36.372750+00:00,5,22,0,0,0,22,68,5,35,0,0,0,35,9,5,26,0,0,0,26,7,5,30,0,0,0,30,5,5,28,0,0,0,28,4,20,32,0,0,0,32,9,20,35,0,0,0,35,7,20,30,0,0,0,30,8,20,27,0,0,0,27,7,20,26,0,0,0,26,7,40,22,11,0,0,18,18,40,15,7,0,0,12,13,40,22,11,0,0,18,6,40,24,12,0,0,19,11,40,29,14,1,0,-13,6,31,Male,1,Unemployed,4,USA,1,1,6,1,1,7,7,7,1,2,5-20-40,1,0
11,ka67amws,1.97,2020-07-20 07:40:42.581518+00:00,5,15,15,0,0,9,32,5,20,10,0,0,16,17,5,10,6,0,0,8,14,5,27,27,0,0,16,19,5,11,10,0,0,7,7,20,19,19,0,1,11,16,20,35,35,0,0,21,12,20,15,15,0,0,9,10,20,24,24,0,0,14,5,20,15,15,0,0,9,8,40,16,16,0,0,10,11,40,35,35,0,1,21,6,40,14,14,0,1,8,12,40,30,30,0,1,18,8,40,17,17,0,0,10,30,48,Male,1,Manufacturing,7,UK,0,1,5,1,1,1,2,3,2,1,5-20-40,0,0
12,5qbrazb3,1.55,2020-07-20 07:56:55.620910+00:00,5,18,0,0,0,18,18,5,15,0,0,0,15,6,5,19,0,1,0,-27,4,5,30,0,0,0,30,3,5,18,18,0,0,11,7,20,23,23,0,0,14,8,20,30,30,0,0,18,6,20,18,18,0,1,11,4,20,18,18,0,0,11,4,20,17,0,0,0,17,4,40,14,14,0,1,8,8,40,35,35,0,0,21,6,40,18,18,0,1,11,4,40,24,24,0,0,14,4,40,19,0,1,0,-27,3,22,Male,1,Unemployed,6,UK,0,0,7,1,1,7,7,6,1,2,5-20-40,1,0
13,ka4icf0g,2.27,2020-07-20 08:10:45.979128+00:00,5,24,4,0,0,22,15,5,0,0,0,0,0,9,5,16,10,0,0,12,4,5,30,30,0,0,18,7,5,25,20,0,0,17,4,20,26,26,0,0,16,93,20,20,20,0,0,12,17,20,25,25,0,0,15,4,20,30,28,0,0,19,6,20,24,22,1,0,10,6,40,25,24,1,0,13,5,40,30,30,0,0,18,6,40,22,20,0,0,14,4,40,27,27,0,0,16,5,40,25,25,0,0,15,2,27,Male,1,Other Industry,6,UK,0,1,7,7,7,3,2,4,7,2,5-20-40,0,0
14,ic1d86dc,2.53,2020-07-20 08:14:04.473741+00:00,5,28,28,0,0,17,6,5,30,0,0,0,30,8,5,19,19,0,0,11,4,5,27,25,0,0,17,5,5,22,20,0,0,14,4,20,29,29,0,0,17,7,20,35,35,0,0,21,4,20,27,27,0,1,16,4,20,21,21,0,0,13,3,20,19,15,0,0,13,5,40,22,22,0,0,13,4,40,35,35,0,0,21,6,40,21,21,0,1,13,4,40,27,27,0,1,16,4,40,18,18,0,1,11,4,21,Male,1,Health Care and Social Assistance,6,UK,0,1,7,1,2,1,2,6,2,3,5-20-40,0,0
15,elipwvx8,1.85,2020-07-20 08:16:25.660173+00:00,5,15,0,0,1,-21,11,5,20,0,0,0,20,6,5,11,0,0,0,11,3,5,30,0,0,0,30,3,5,13,0,0,0,13,4,20,19,11,0,0,15,12,20,15,15,0,1,9,5,20,12,12,0,0,7,4,20,24,20,0,0,16,6,20,14,0,0,0,14,6,40,9,9,0,0,5,3,40,25,25,0,0,15,5,40,14,0,0,0,14,3,40,30,30,0,1,18,4,40,15,15,0,0,9,3,18,Male,1,Retail,4,UK,0,0,5,7,7,2,1,4,6,2,5-20-40,0,0
16,sqln3du9,0.75,2020-07-20 09:04:28.457575+00:00,5,3,3,0,0,2,17,5,10,10,0,0,6,12,5,0,0,0,0,0,9,5,12,12,0,0,7,5,5,6,6,0,0,4,5,20,2,2,0,0,1,4,20,25,25,0,0,15,5,20,0,0,0,1,0,8,20,15,15,0,1,9,6,20,8,8,0,0,5,6,40,3,3,0,1,2,6,40,5,5,0,0,3,5,40,0,0,0,0,0,5,40,15,15,0,1,9,5,40,3,3,0,0,2,5,28,Female,0,Finance and Insurance,6,UK,0,1,5,7,1,1,1,2,7,2,5-20-40,0,1
17,ag0lwkqq,1.32,2020-07-20 09:11:38.624336+00:00,5,8,8,0,0,5,23,5,10,10,0,0,6,5,5,9,9,0,0,5,5,5,15,15,0,0,9,8,5,21,21,0,0,13,4,20,16,16,0,0,10,6,20,15,15,0,0,9,6,20,12,12,0,0,7,4,20,12,12,0,0,7,4,20,19,19,0,0,11,5,40,13,13,0,1,8,5,40,10,10,0,0,6,4,40,12,12,0,1,7,5,40,12,12,0,0,7,3,40,20,20,0,0,12,4,38,Male,1,Finance and Insurance,6,UK,0,1,4,3,4,1,6,4,2,3,5-20-40,0,1
18,qvc01ub9,2.98,2020-07-20 09:27:49.019765+00:00,5,16,0,0,0,16,6,5,35,0,0,0,35,5,5,15,0,0,0,15,8,5,30,30,0,0,18,17,5,30,0,0,0,30,19,20,24,24,0,0,14,4,20,35,35,0,0,21,9,20,19,0,0,0,19,6,20,21,10,0,0,17,7,20,37,37,0,0,22,9,40,19,19,0,1,11,8,40,35,35,0,0,21,5,40,21,21,0,0,13,5,40,27,27,0,0,16,3,40,34,34,0,0,20,5,22,Male,1,Finance and Insurance,6,UK,0,1,0,1,1,7,7,3,1,1,5-20-40,0,1
19,is9st36r,1.63,2020-07-20 11:03:15.689036+00:00,5,16,16,0,0,10,34,5,10,10,0,0,6,5,5,15,15,0,0,9,5,5,18,18,0,0,11,8,5,17,17,0,0,10,4,20,20,20,0,0,12,6,20,25,25,0,0,15,4,20,17,17,0,0,10,7,20,18,18,0,1,11,7,20,15,15,0,0,9,5,40,17,17,0,1,10,5,40,15,15,0,0,9,5,40,16,16,0,0,10,78,40,18,18,0,0,11,5,40,17,17,0,0,10,5,30,Female,0,Information Services and Data Processing,6,UK,0,1,3,7,1,1,1,1,1,2,5-20-40,0,0
